EmployeeID,FirstName,LastName,DateOfBirth,Gender,HireDate,Department,JobRole,EducationLevel,MaritalStatus,Country,City
52,Lily,Howard,6/25/1985,Female,1/1/2013,Finance,Budget Analyst,Bachelor's,Married,UK,Sheffield
53,Owen,Ward,11/9/1982,Male,4/1/2010,IT,Help Desk Specialist,Associate's,Single,Germany,Dresden
54,Aubrey,Torres,1/7/1991,Female,6/1/2016,Operations,Purchasing Agent,Bachelor's,Single,Australia,Hobart
55,Luke,Peterson,8/30/1984,Male,8/20/2012,Human Resources,Payroll Specialist,Bachelor's,Married,USA,Raleigh
56,Zoe,Gonzales,4/5/1994,Female,3/15/2019,Marketing,Marketing Coordinator,Associate's,Single,USA,Virginia Beach
57,Caleb,Foster,1/10/1978,Male,1/1/2005,Sales,Sales Associate,Bachelor's,Married,Canada,Saskatoon
58,Penelope,Sanders,9/16/1990,Female,7/1/2015,Finance,Accounts Payable Clerk,Bachelor's,Married,UK,Leeds
59,Nathan,Kim,6/3/1981,Male,11/1/2008,IT,System Administrator,Master's,Single,Germany,Nuremberg
60,Stella,Long,10/8/1993,Female,1/1/2018,Operations,Warehouse Manager,Bachelor's,Single,Australia,Cairns
61,Aaron,Russell,5/22/1986,Male,2/14/2013,Human Resources,HR Analyst,Master's,Married,USA,Detroit
62,Bella,Washington,2/1/1995,Female,4/1/2020,Marketing,Event Coordinator,Associate's,Single,USA,Orlando
63,Leo,Griffin,7/14/1979,Male,9/1/2006,Sales,Business Development Mgr,Master's,Married,Canada,Regina
64,Hazel,Bennett,3/10/1988,Female,6/1/2014,Finance,Financial Controller,Bachelor's,Married,UK,Leicester
65,Eli,Perry,12/28/1983,Male,1/1/2011,IT,IT Security Analyst,PhD,Single,Germany,Hanover
66,Violet,Barnes,5/9/1992,Female,2/15/2017,Operations,Quality Assurance Spec,Bachelor's,Single,Australia,Darwin
67,Ryan,Cole,4/17/1987,Male,10/1/2014,Human Resources,Talent Acquisition Spec,Bachelor's,Married,USA,Memphis
68,Aurora,Brooks,1/26/1996,Female,1/1/2021,Marketing,Copywriter,Bachelor's,Single,USA,Baltimore
69,Joshua,Fisher,9/7/1977,Male,3/1/2004,Sales,Senior Account Manager,Master's,Married,Canada,Saskatoon
70,Luna,Kelly,11/19/1985,Female,9/1/2013,Finance,Junior Accountant,Associate's,Married,UK,Coventry
71,Connor,Palmer,2/2/1982,Male,6/1/2010,IT,Database Administrator,Master's,Single,Germany,Bremen
72,Nova,Rogers,8/14/1991,Female,9/1/2016,Operations,Inventory Manager,Bachelor's,Single,Australia,Wollongong
73,Easton,Green,5/1/1980,Male,1/1/2007,Human Resources,HR Manager,Master's,Married,USA,Charlotte
74,Mila,Reed,12/3/1993,Female,5/1/2018,Marketing,SEO Specialist,Bachelor's,Single,USA,Nashville
75,Carson,Howard,2/29/1976,Male,8/10/2003,Sales,Sales Manager,Bachelor's,Married,Canada,Victoria
76,Aria,Cook,9/12/1989,Female,1/10/2014,Finance,Financial Analyst,Master's,Married,UK,Sheffield
77,Asher,Ward,4/20/1983,Male,7/1/2011,IT,Software Engineer,PhD,Single,Germany,Dresden
78,Everly,Torres,11/25/1992,Female,4/1/2017,Operations,Operations Coordinator,Bachelor's,Single,Australia,Hobart
79,Ezra,Peterson,1/5/1985,Male,3/1/2012,Human Resources,HR Generalist,Bachelor's,Married,USA,Raleigh
80,Ellie,Gonzales,6/18/1994,Female,6/1/2019,Marketing,Digital Marketing Mgr,Master's,Single,USA,Virginia Beach
81,Colton,Foster,3/3/1978,Male,5/1/2005,Sales,Account Manager,Bachelor's,Married,Canada,Saskatoon
82,Iris,Sanders,10/29/1990,Female,10/1/2015,Finance,Accountant,Bachelor's,Married,UK,Leeds
83,Declan,Kim,8/11/1981,Male,4/1/2008,IT,Network Administrator,Associate's,Single,Germany,Nuremberg
84,Willow,Long,1/2/1993,Female,6/1/2018,Operations,Supply Chain Analyst,Master's,Single,Australia,Cairns
85,Brooks,Russell,7/27/1986,Male,5/1/2013,Human Resources,Recruitment Specialist,Bachelor's,Married,USA,Detroit
86,Rowan,Washington,4/14/1995,Female,7/1/2020,Marketing,Content Creator,Bachelor's,Single,USA,Orlando
87,Landon,Griffin,9/10/1979,Male,11/1/2006,Sales,Regional Sales Manager,Master's,Married,Canada,Regina
88,Paisley,Bennett,5/23/1988,Female,9/1/2014,Finance,Tax Specialist,Bachelor's,Married,UK,Leicester
89,Harrison,Perry,1/8/1983,Male,3/1/2011,IT,Cybersecurity Analyst,Master's,Single,Germany,Hanover
90,Kennedy,Barnes,6/30/1992,Female,6/1/2017,Operations,Logistics Coordinator,Associate's,Single,Australia,Darwin
91,Clayton,Cole,6/1/1987,Male,2/1/2014,Human Resources,HR Business Partner,Master's,Married,USA,Memphis
92,Sawyer,Brooks,3/21/1996,Female,5/1/2021,Marketing,Social Media Manager,Bachelor's,Single,USA,Baltimore
93,Ryder,Fisher,11/15/1977,Male,5/1/2004,Sales,Sales Executive,Bachelor's,Married,Canada,Saskatoon
94,Emery,Kelly,7/8/1985,Female,11/1/2013,Finance,Auditor,Master's,Married,UK,Coventry
95,Grayson,Palmer,4/4/1982,Male,8/1/2010,IT,IT Support Specialist,Associate's,Single,Germany,Bremen
96,Remi,Rogers,10/19/1991,Female,11/1/2016,Operations,Production Planner,Bachelor's,Single,Australia,Wollongong
97,Easton,Adams,12/1/1980,Male,3/1/2007,Human Resources,Compensation Analyst,Master's,Married,USA,Boston
98,Adeline,Nelson,7/6/1993,Female,10/1/2018,Marketing,Product Marketing Mgr,Bachelor's,Single,USA,Atlanta
99,Jaxson,Carter,4/20/1976,Male,6/1/2003,Sales,Senior Sales Rep,Bachelor's,Married,Canada,Edmonton
100,Eliza,Mitchell,11/3/1989,Female,3/1/2014,Finance,Credit Analyst,Master's,Married,UK,Liverpool
101,Ezra,Perez,6/15/1983,Male,9/1/2011,IT,Data Scientist,PhD,Single,Germany,Stuttgart
102,Skylar,Roberts,3/8/1992,Female,8/1/2019,Operations,Quality Control Spec,Bachelor's,Single,Australia,Brisbane
103,Milo,Morgan,9/28/1986,Male,12/1/2013,Human Resources,Training Specialist,Bachelor's,Married,USA,Phoenix
104,Leah,Turner,1/12/1994,Female,3/1/2020,Marketing,Market Research Analyst,Master's,Single,USA,Denver
105,Leo,Phillips,7/1/1978,Male,11/1/2005,Sales,Sales Manager,Bachelor's,Married,Canada,Quebec City
106,Ruby,Campbell,3/17/1990,Female,6/1/2016,Finance,Financial Planner,Bachelor's,Married,UK,Edinburgh
107,Silas,Parker,10/24/1981,Male,5/1/2008,IT,IT Project Manager,Master's,Single,Germany,Cologne
108,Quinn,Evans,8/1/1993,Female,11/1/2018,Operations,Logistics Manager,Associate's,Single,Australia,Canberra
109,Finn,Edwards,3/9/1987,Male,7/1/2014,Human Resources,HR Coordinator,Bachelor's,Married,USA,San Antonio
110,Freya,Collins,9/20/1995,Female,2/1/2021,Marketing,SEO Specialist,Bachelor's,Single,USA,Portland
111,Owen,Stewart,2/5/1979,Male,4/1/2006,Sales,Key Account Manager,Master's,Married,Canada,Winnipeg
112,Nora,Sanchez,10/16/1988,Female,5/1/2015,Finance,Investment Analyst,Bachelor's,Married,UK,Bristol
113,Jasper,Morris,5/29/1982,Male,9/1/2009,IT,Cloud Engineer,Master's,Single,Germany,Dusseldorf
114,Hazel,Ramirez,12/1/1991,Female,7/1/2017,Operations,Supply Chain Manager,Associate's,Single,Australia,Gold Coast
115,Kai,Cook,7/13/1985,Male,5/1/2012,Human Resources,Employee Relations Spec,Bachelor's,Married,USA,Charlotte
116,Cora,Bell,1/28/1994,Female,4/1/2019,Marketing,PR Specialist,Bachelor's,Single,USA,Nashville
117,Jaxon,Morgan,6/2/1976,Male,10/1/2003,Sales,Sales Manager,Master's,Married,Canada,Ottawa
118,Maya,Murphy,1/7/1989,Female,4/1/2014,Finance,Treasury Analyst,Bachelor's,Married,UK,Cardiff
119,Declan,Rivera,7/22/1983,Male,10/1/2011,IT,DevOps Engineer,PhD,Single,Germany,Leipzig
120,Eliza,Bailey,4/16/1992,Female,8/1/2017,Operations,Operations Analyst,Bachelor's,Single,Australia,Newcastle
121,Oscar,Cooper,9/1/1980,Male,5/1/2007,Human Resources,HR Assistant,Associate's,Married,USA,Orlando
122,Madeline,Richardson,2/14/1993,Female,8/1/2018,Marketing,Brand Manager,Master's,Single,USA,Kansas City
123,Felix,Cox,8/5/1977,Male,12/1/2004,Sales,Sales Representative,Bachelor's,Married,Canada,Victoria
124,Julia,Howard,1/19/1985,Female,4/1/2013,Finance,Budget Analyst,Bachelor's,Married,UK,Sheffield
125,Matias,Ward,6/23/1982,Male,9/1/2010,IT,Help Desk Specialist,Associate's,Single,Germany,Dresden
126,Piper,Torres,3/1/1991,Female,2/1/2016,Operations,Purchasing Agent,Bachelor's,Single,Australia,Hobart
127,Ezra,Peterson,10/10/1984,Male,6/1/2012,Human Resources,Payroll Specialist,Bachelor's,Married,USA,Raleigh
128,Lucy,Gonzales,5/25/1994,Female,9/1/2019,Marketing,Marketing Coordinator,Associate's,Single,USA,Virginia Beach
129,Silas,Foster,7/16/1978,Male,3/1/2005,Sales,Sales Associate,Bachelor's,Married,Canada,Saskatoon
130,Ellie,Sanders,12/7/1990,Female,12/1/2015,Finance,Accounts Payable Clerk,Bachelor's,Married,UK,Leeds
131,Leo,Kim,9/2/1981,Male,6/1/2008,IT,System Administrator,Master's,Single,Germany,Nuremberg
132,Ruby,Long,4/20/1993,Female,3/1/2018,Operations,Warehouse Manager,Bachelor's,Single,Australia,Cairns
133,Aaron,Russell,1/11/1986,Male,7/1/2013,Human Resources,HR Analyst,Master's,Married,USA,Detroit
134,Bella,Washington,6/28/1995,Female,9/1/2020,Marketing,Event Coordinator,Associate's,Single,USA,Orlando
135,Leo,Griffin,11/9/1979,Male,6/1/2006,Sales,Business Development Mgr,Master's,Married,Canada,Regina
136,Hazel,Bennett,7/24/1988,Female,10/1/2014,Finance,Financial Controller,Bachelor's,Married,UK,Leicester
137,Eli,Perry,2/16/1983,Male,5/1/2011,IT,IT Security Analyst,PhD,Single,Germany,Hanover
138,Violet,Barnes,9/5/1992,Female,9/1/2017,Operations,Quality Assurance Spec,Bachelor's,Single,Australia,Darwin
139,Ryan,Cole,8/3/1987,Male,4/1/2014,Human Resources,Talent Acquisition Spec,Bachelor's,Married,USA,Memphis
140,Aurora,Brooks,5/18/1996,Female,7/1/2021,Marketing,Copywriter,Bachelor's,Single,USA,Baltimore
141,Joshua,Fisher,10/12/1977,Male,8/1/2004,Sales,Senior Account Manager,Master's,Married,Canada,Saskatoon
142,Luna,Kelly,2/9/1985,Female,10/1/2013,Finance,Junior Accountant,Associate's,Married,UK,Coventry
143,Connor,Palmer,7/25/1982,Male,2/1/2010,IT,Database Administrator,Master's,Single,Germany,Bremen
144,Nova,Rogers,5/6/1991,Female,4/1/2016,Operations,Inventory Manager,Bachelor's,Single,Australia,Wollongong
145,Easton,Green,10/1/1980,Male,7/1/2007,Human Resources,HR Manager,Master's,Married,USA,Charlotte
146,Mila,Reed,3/29/1993,Female,2/1/2018,Marketing,SEO Specialist,Bachelor's,Single,USA,Nashville
147,Carson,Howard,7/8/1976,Male,12/1/2003,Sales,Sales Manager,Bachelor's,Married,Canada,Victoria
148,Aria,Cook,2/21/1989,Female,7/1/2014,Finance,Financial Analyst,Master's,Married,UK,Sheffield
149,Asher,Ward,9/3/1983,Male,12/1/2011,IT,Software Engineer,PhD,Single,Germany,Dresden
150,Everly,Torres,6/16/1992,Female,9/1/2017,Operations,Operations Coordinator,Bachelor's,Single,Australia,Hobart
151,Ezra,Peterson,4/1/1985,Male,9/1/2012,Human Resources,HR Generalist,Bachelor's,Married,USA,Raleigh
152,Ellie,Gonzales,9/14/1994,Female,1/1/2019,Marketing,Digital Marketing Mgr,Master's,Single,USA,Virginia Beach
153,Colton,Foster,6/25/1978,Male,8/1/2005,Sales,Account Manager,Bachelor's,Married,Canada,Saskatoon
154,Iris,Sanders,1/18/1990,Female,4/1/2015,Finance,Accountant,Bachelor's,Married,UK,Leeds
155,Declan,Kim,4/7/1981,Male,9/1/2008,IT,Network Administrator,Associate's,Single,Germany,Nuremberg
156,Willow,Long,9/5/1993,Female,5/1/2018,Operations,Supply Chain Analyst,Master's,Single,Australia,Cairns
157,Brooks,Russell,2/19/1986,Male,10/1/2013,Human Resources,Recruitment Specialist,Bachelor's,Married,USA,Detroit
158,Rowan,Washington,7/31/1995,Female,2/1/2020,Marketing,Content Creator,Bachelor's,Single,USA,Orlando
159,Landon,Griffin,5/2/1979,Male,3/1/2006,Sales,Regional Sales Manager,Master's,Married,Canada,Regina
160,Paisley,Bennett,12/14/1988,Female,7/1/2014,Finance,Tax Specialist,Bachelor's,Married,UK,Leicester
161,Harrison,Perry,5/27/1983,Male,9/1/2011,IT,Cybersecurity Analyst,Master's,Single,Germany,Hanover
162,Kennedy,Barnes,1/8/1992,Female,4/1/2017,Operations,Logistics Coordinator,Associate's,Single,Australia,Darwin
163,Clayton,Cole,10/23/1987,Male,9/1/2014,Human Resources,HR Business Partner,Master's,Married,USA,Memphis
164,Sawyer,Brooks,7/4/1996,Female,8/1/2021,Marketing,Social Media Manager,Bachelor's,Single,USA,Baltimore
165,Ryder,Fisher,4/16/1977,Male,10/1/2004,Sales,Sales Executive,Bachelor's,Married,Canada,Saskatoon
166,Emery,Kelly,9/27/1985,Female,3/1/2013,Finance,Auditor,Master's,Married,UK,Coventry
167,Grayson,Palmer,1/13/1982,Male,7/1/2010,IT,IT Support Specialist,Associate's,Single,Germany,Bremen
168,Remi,Rogers,6/24/1991,Female,1/1/2016,Operations,Production Planner,Bachelor's,Single,Australia,Wollongong
169,Easton,Adams,4/8/1980,Male,8/1/2007,Human Resources,Compensation Analyst,Master's,Married,USA,Boston
170,Adeline,Nelson,11/19/1993,Female,4/1/2018,Marketing,Product Marketing Mgr,Bachelor's,Single,USA,Atlanta
171,Jaxson,Carter,9/1/1976,Male,1/1/2003,Sales,Senior Sales Rep,Bachelor's,Married,Canada,Edmonton
172,Eliza,Mitchell,5/13/1989,Female,6/1/2014,Finance,Credit Analyst,Master's,Married,UK,Liverpool
173,Ezra,Perez,11/26/1983,Male,1/1/2011,IT,Data Scientist,PhD,Single,Germany,Stuttgart
174,Skylar,Roberts,8/17/1992,Female,7/1/2019,Operations,Quality Control Spec,Bachelor's,Single,Australia,Brisbane
175,Milo,Morgan,4/30/1986,Male,9/1/2013,Human Resources,Training Specialist,Bachelor's,Married,USA,Phoenix
176,Leah,Turner,10/11/1994,Female,1/1/2020,Marketing,Market Research Analyst,Master's,Single,USA,Denver
177,Leo,Phillips,2/23/1978,Male,6/1/2005,Sales,Sales Manager,Bachelor's,Married,Canada,Quebec City
178,Ruby,Campbell,7/5/1990,Female,9/1/2016,Finance,Financial Planner,Bachelor's,Married,UK,Edinburgh
179,Silas,Parker,12/18/1981,Male,3/1/2008,IT,IT Project Manager,Master's,Single,Germany,Cologne
180,Quinn,Evans,5/30/1993,Female,7/1/2018,Operations,Logistics Manager,Associate's,Single,Australia,Canberra
181,Finn,Edwards,1/20/1987,Male,11/1/2014,Human Resources,HR Coordinator,Bachelor's,Married,USA,San Antonio
182,Freya,Collins,8/2/1995,Female,3/1/2021,Marketing,SEO Specialist,Bachelor's,Single,USA,Portland
183,Owen,Stewart,9/15/1979,Male,2/1/2006,Sales,Key Account Manager,Master's,Married,Canada,Winnipeg
184,Nora,Sanchez,4/28/1988,Female,7/1/2015,Finance,Investment Analyst,Bachelor's,Married,UK,Bristol
185,Jasper,Morris,10/9/1982,Male,11/1/2009,IT,Cloud Engineer,Master's,Single,Germany,Dusseldorf
186,Hazel,Ramirez,3/24/1991,Female,6/1/2017,Operations,Supply Chain Manager,Associate's,Single,Australia,Gold Coast
187,Kai,Cook,8/5/1985,Male,10/1/2012,Human Resources,Employee Relations Spec,Bachelor's,Married,USA,Charlotte
188,Cora,Bell,2/18/1994,Female,5/1/2019,Marketing,PR Specialist,Bachelor's,Single,USA,Nashville
189,Jaxon,Morgan,7/10/1976,Male,12/1/2003,Sales,Sales Manager,Master's,Married,Canada,Ottawa
190,Maya,Murphy,2/3/1989,Female,7/1/2014,Finance,Treasury Analyst,Bachelor's,Married,UK,Cardiff
191,Declan,Rivera,8/20/1983,Male,11/1/2011,IT,DevOps Engineer,PhD,Single,Germany,Leipzig
192,Eliza,Bailey,5/12/1992,Female,10/1/2017,Operations,Operations Analyst,Bachelor's,Single,Australia,Newcastle
193,Oscar,Cooper,9/25/1980,Male,7/1/2007,Human Resources,HR Assistant,Associate's,Married,USA,Orlando
194,Madeline,Richardson,4/6/1993,Female,1/1/2018,Marketing,Brand Manager,Master's,Single,USA,Kansas City
195,Felix,Cox,10/18/1977,Male,3/1/2004,Sales,Sales Representative,Bachelor's,Married,Canada,Victoria
196,Julia,Howard,3/1/1985,Female,6/1/2013,Finance,Budget Analyst,Bachelor's,Married,UK,Sheffield
197,Matias,Ward,8/13/1982,Male,11/1/2010,IT,Help Desk Specialist,Associate's,Single,Germany,Dresden
198,Piper,Torres,5/1/1991,Female,4/1/2016,Operations,Purchasing Agent,Bachelor's,Single,Australia,Hobart
199,Ezra,Peterson,12/21/1984,Male,8/1/2012,Human Resources,Payroll Specialist,Bachelor's,Married,USA,Raleigh
200,Lucy,Gonzales,7/3/1994,Female,11/1/2019,Marketing,Marketing Coordinator,Associate's,Single,USA,Virginia Beach
201,Silas,Foster,9/8/1978,Male,5/1/2005,Sales,Sales Associate,Bachelor's,Married,Canada,Saskatoon
202,Ellie,Sanders,2/2/1990,Female,9/1/2015,Finance,Accounts Payable Clerk,Bachelor's,Married,UK,Leeds
203,Leo,Kim,6/15/1981,Male,2/1/2008,IT,System Administrator,Master's,Single,Germany,Nuremberg
204,Ruby,Long,11/28/1993,Female,7/1/2018,Operations,Warehouse Manager,Bachelor's,Single,Australia,Cairns
205,Aaron,Russell,4/5/1986,Male,9/1/2013,Human Resources,HR Analyst,Master's,Married,USA,Detroit
206,Bella,Washington,9/17/1995,Female,11/1/2020,Marketing,Event Coordinator,Associate's,Single,USA,Orlando
207,Leo,Griffin,1/30/1979,Male,8/1/2006,Sales,Business Development Mgr,Master's,Married,Canada,Regina
208,Hazel,Bennett,6/12/1988,Female,12/1/2014,Finance,Financial Controller,Bachelor's,Married,UK,Leicester
209,Eli,Perry,9/25/1983,Male,4/1/2011,IT,IT Security Analyst,PhD,Single,Germany,Hanover
210,Violet,Barnes,2/6/1992,Female,11/1/2017,Operations,Quality Assurance Spec,Bachelor's,Single,Australia,Darwin
211,Ryan,Cole,7/20/1987,Male,6/1/2014,Human Resources,Talent Acquisition Spec,Bachelor's,Married,USA,Memphis
212,Aurora,Brooks,4/1/1996,Female,9/1/2021,Marketing,Copywriter,Bachelor's,Single,USA,Baltimore
213,Joshua,Fisher,12/15/1977,Male,2/1/2004,Sales,Senior Account Manager,Master's,Married,Canada,Saskatoon
214,Luna,Kelly,4/26/1985,Female,5/1/2013,Finance,Junior Accountant,Associate's,Married,UK,Coventry
215,Connor,Palmer,9/7/1982,Male,9/1/2010,IT,Database Administrator,Master's,Single,Germany,Bremen
216,Nova,Rogers,2/18/1991,Female,8/1/2016,Operations,Inventory Manager,Bachelor's,Single,Australia,Wollongong
217,Easton,Green,7/1/1980,Male,2/1/2007,Human Resources,HR Manager,Master's,Married,USA,Charlotte
218,Mila,Reed,10/12/1993,Female,6/1/2018,Marketing,SEO Specialist,Bachelor's,Single,USA,Nashville
219,Carson,Howard,2/23/1976,Male,9/1/2003,Sales,Sales Manager,Bachelor's,Married,Canada,Victoria
220,Aria,Cook,7/5/1989,Female,11/1/2014,Finance,Financial Analyst,Master's,Married,UK,Sheffield
221,Asher,Ward,1/16/1983,Male,2/1/2011,IT,Software Engineer,PhD,Single,Germany,Dresden
222,Everly,Torres,8/28/1992,Female,7/1/2017,Operations,Operations Coordinator,Bachelor's,Single,Australia,Hobart
223,Ezra,Peterson,6/9/1985,Male,11/1/2012,Human Resources,HR Generalist,Bachelor's,Married,USA,Raleigh
224,Ellie,Gonzales,11/20/1994,Female,3/1/2019,Marketing,Digital Marketing Mgr,Master's,Single,USA,Virginia Beach
225,Colton,Foster,4/3/1978,Male,10/1/2005,Sales,Account Manager,Bachelor's,Married,Canada,Saskatoon
226,Iris,Sanders,9/15/1990,Female,1/1/2015,Finance,Accountant,Bachelor's,Married,UK,Leeds
227,Declan,Kim,1/26/1981,Male,6/1/2008,IT,Network Administrator,Associate's,Single,Germany,Nuremberg
228,Willow,Long,6/7/1993,Female,9/1/2018,Operations,Supply Chain Analyst,Master's,Single,Australia,Cairns
229,Brooks,Russell,11/18/1986,Male,2/1/2013,Human Resources,Recruitment Specialist,Bachelor's,Married,USA,Detroit
230,Rowan,Washington,4/29/1995,Female,6/1/2020,Marketing,Content Creator,Bachelor's,Single,USA,Orlando
231,Landon,Griffin,8/11/1979,Male,5/1/2006,Sales,Regional Sales Manager,Master's,Married,Canada,Regina
232,Paisley,Bennett,1/23/1988,Female,8/1/2014,Finance,Tax Specialist,Bachelor's,Married,UK,Leicester
233,Harrison,Perry,6/5/1983,Male,10/1/2011,IT,Cybersecurity Analyst,Master's,Single,Germany,Hanover
234,Kennedy,Barnes,3/17/1992,Female,5/1/2017,Operations,Logistics Coordinator,Associate's,Single,Australia,Darwin
235,Clayton,Cole,9/29/1987,Male,1/1/2014,Human Resources,HR Business Partner,Master's,Married,USA,Memphis
236,Sawyer,Brooks,6/10/1996,Female,4/1/2021,Marketing,Social Media Manager,Bachelor's,Single,USA,Baltimore
237,Ryder,Fisher,1/1/1977,Male,7/1/2004,Sales,Sales Executive,Bachelor's,Married,Canada,Saskatoon
